"Date","Price","Open","High","Low","Vol.","Change %"
"02/19/2025","60.55","59.40","61.60","58.58","27.18M","0.46%"
"02/18/2025","60.27","60.60","61.65","58.80","25.50M","-1.66%"
"02/17/2025","61.29","60.95","62.11","59.29","36.04M","0.69%"
"02/14/2025","60.87","64.56","64.80","60.15","35.13M","-5.30%"
"02/13/2025","64.28","65.00","66.12","63.81","24.48M","-0.53%"
"02/12/2025","64.62","65.50","65.60","63.30","37.54M","-0.98%"
"02/11/2025","65.26","67.90","67.90","64.36","28.38M","-3.46%"
"02/10/2025","67.60","68.91","68.97","67.16","27.92M","-3.39%"
"02/07/2025","69.97","72.11","72.30","68.30","36.40M","-2.60%"
"02/06/2025","71.84","74.60","74.99","71.56","22.28M","-3.70%"
"02/05/2025","74.60","76.98","77.00","73.51","23.58M","-0.33%"
"02/04/2025","74.85","74.20","75.46","73.72","22.87M","2.42%"
"02/03/2025","73.08","74.51","76.47","72.37","45.90M","-1.68%"
"02/01/2025","74.33","75.99","80.80","73.66","85.43M","-0.63%"
"01/31/2025","74.80","67.85","76.53","67.62","116.62M","11.99%"
"01/30/2025","66.79","66.71","68.47","66.29","20.58M","1.23%"
"01/29/2025","65.98","65.82","68.31","65.24","26.43M","1.26%"
"01/28/2025","65.16","68.16","68.79","64.60","31.30M","-4.29%"
"01/27/2025","68.08","70.10","70.44","67.50","22.70M","-4.57%"
"01/24/2025","71.34","73.34","73.75","71.00","14.30M","-2.93%"
"01/23/2025","73.49","74.79","74.79","73.17","11.53M","-1.10%"
"01/22/2025","74.31","76.60","76.89","73.80","15.52M","-2.53%"
"01/21/2025","76.24","77.14","78.78","76.01","27.33M","-0.12%"
"01/20/2025","76.33","75.00","77.00","74.33","15.29M","2.58%"
"01/17/2025","74.41","74.50","75.18","73.91","13.40M","-0.53%"
"01/16/2025","74.81","75.00","75.48","74.01","16.45M","2.13%"
"01/15/2025","73.25","73.90","75.60","72.10","28.97M","0.51%"
"01/14/2025","72.88","71.50","73.47","70.39","34.10M","3.85%"
"01/13/2025","70.18","71.00","72.83","70.00","32.63M","-4.37%"
"01/10/2025","73.39","75.50","76.50","72.70","38.61M","-3.00%"
"01/09/2025","75.66","79.40","79.60","75.27","24.97M","-4.84%"
"01/08/2025","79.51","77.00","80.15","75.16","61.61M","0.44%"
"01/07/2025","79.16","78.90","81.18","78.55","30.77M","1.55%"
"01/06/2025","77.95","82.80","83.10","77.50","33.40M","-5.76%"
"01/03/2025","82.71","84.70","85.11","82.26","30.98M","-2.36%"
"01/02/2025","84.71","86.24","88.59","83.58","37.56M","-1.75%"
"01/01/2025","86.22","86.40","86.67","85.25","16.27M","0.57%"
"12/31/2024","85.73","85.19","87.64","84.87","29.58M","0.78%"
"12/30/2024","85.07","87.10","88.08","84.50","37.61M","-5.40%"
"12/27/2024","89.93","93.85","94.25","88.51","37.60M","-3.87%"
"12/26/2024","93.55","97.00","99.95","93.10","69.59M","-0.46%"
"12/24/2024","93.98","93.40","95.66","92.78","22.49M","1.39%"
"12/23/2024","92.69","93.97","95.24","92.10","30.47M","-1.05%"
"12/20/2024","93.67","95.60","97.83","92.13","38.32M","-1.52%"
"12/19/2024","95.12","94.00","96.39","93.15","26.29M","-1.35%"
"12/18/2024","96.42","97.95","98.20","94.80","37.71M","-1.04%"
"12/17/2024","97.43","97.30","100.40","96.91","47.46M","0.65%"
"12/16/2024","96.80","93.81","99.62","93.56","67.36M","3.19%"
"12/13/2024","93.81","93.50","94.88","93.00","29.24M","-0.19%"
"12/12/2024","93.99","96.12","96.60","93.75","24.83M","-2.22%"
"12/11/2024","96.12","94.89","98.13","93.01","66.95M","1.64%"
"12/10/2024","94.57","92.25","95.50","92.23","50.85M","2.51%"
"12/09/2024","92.25","96.40","97.00","91.50","40.58M","-3.82%"
"12/06/2024","95.91","96.90","98.30","95.25","48.47M","-2.65%"
"12/05/2024","98.52","98.73","100.20","95.48","76.87M","0.16%"
"12/04/2024","98.36","98.75","102.50","97.61","133.84M","-0.18%"
"12/03/2024","98.54","94.09","101.78","92.51","236.99M","5.63%"
"12/02/2024","93.29","84.11","94.47","81.20","168.06M","6.73%"
"11/29/2024","87.41","92.15","92.49","86.70","76.16M","-6.00%"
"11/28/2024","92.99","90.65","94.50","88.77","186.60M","5.55%"
"11/27/2024","88.10","77.70","88.10","75.26","244.70M","19.99%"
"11/26/2024","73.42","69.58","74.80","69.58","57.39M","5.52%"
"11/25/2024","69.58","70.55","72.30","69.30","21.41M","0.64%"
"11/22/2024","69.14","67.21","69.74","66.66","28.73M","2.87%"
"11/21/2024","67.21","69.50","69.70","66.86","29.12M","-3.04%"
"11/19/2024","69.32","68.99","71.18","68.99","22.43M","0.57%"
"11/18/2024","68.93","70.00","70.90","68.10","38.57M","-1.70%"
"11/14/2024","70.12","71.04","71.88","69.54","34.17M","-1.17%"
"11/13/2024","70.95","73.80","74.19","70.55","29.80M","-4.50%"
"11/12/2024","74.29","75.20","76.65","73.71","36.93M","-0.05%"
"11/11/2024","74.33","72.72","77.60","70.55","99.00M","2.21%"
"11/08/2024","72.72","74.92","74.99","72.60","30.13M","-2.47%"
"11/07/2024","74.56","75.00","78.25","74.07","55.66M","0.22%"
"11/06/2024","74.40","75.41","75.43","73.50","51.88M","0.30%"
"11/05/2024","74.18","80.04","80.29","73.84","89.68M","-8.24%"
"11/04/2024","80.84","84.45","84.80","79.61","30.67M","-2.41%"
"11/01/2024","82.84","82.39","83.65","82.01","7.90M","2.42%"
"10/31/2024","80.88","80.00","83.25","79.16","34.10M","1.32%"
"10/30/2024","79.83","76.32","80.67","75.08","47.42M","4.60%"
"10/29/2024","76.32","77.70","78.50","74.84","29.30M","-1.64%"
"10/28/2024","77.59","77.99","80.50","77.12","31.80M","0.39%"
"10/25/2024","77.29","80.05","80.49","76.73","22.42M","-3.39%"
"10/24/2024","80.00","81.81","82.10","79.77","17.91M","-2.15%"
"10/23/2024","81.76","81.20","83.00","79.15","33.12M","0.84%"
"10/22/2024","81.08","83.98","85.29","80.50","41.67M","-0.70%"
"10/21/2024","81.65","87.19","87.48","81.00","34.97M","-6.10%"
"10/18/2024","86.95","85.75","88.00","85.02","25.52M","-0.71%"
"10/17/2024","87.57","89.39","90.00","87.20","16.58M","-1.79%"
"10/16/2024","89.17","90.00","90.39","88.62","20.03M","-0.38%"
"10/15/2024","89.51","88.79","91.87","88.65","56.88M","2.34%"
"10/14/2024","87.46","90.00","90.50","87.15","36.29M","-3.04%"
"10/11/2024","90.20","91.00","92.25","89.66","34.32M","-0.65%"
"10/10/2024","90.79","94.00","95.17","90.00","49.22M","-5.21%"
"10/09/2024","95.78","95.32","98.69","93.79","57.07M","0.39%"
"10/08/2024","95.41","86.00","96.78","86.00","113.35M","5.05%"
